set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.92847 0.288148

0.720017 0.190541
0.72237 0.191556

0.806067 0.157872
0.818051 0.139613

0.93526 0.45154
0.905673 0.384285

0.975929 0.039373
0.971458 0.0420215

0.93526 0.45154
0.722191 0.398034

0.269829 0.148154
0.275032 0.14885

0.38425 0.120518
0.34486 0.130032

0.937226 0.240205
0.928743 0.238369

0.667243 0.369391
0.677017 0.354499

0.813811 0.164878
0.807986 0.173005

0.195688 0.269214
0.201806 0.277876

0.967304 0.10239
0.790013 0.140721

0.739437 0.233886
0.739752 0.233704

0.44704 0.129498
0.407703 0.126862

0.739437 0.233886
0.722497 0.24341

0.0234395 0.0460126
0.0375029 0.0666533

0.473718 0.218961
0.467825 0.216697

0.407832 0.316988
0.3678 0.328028

0.391861 0.176195
0.407832 0.316988

0.0434537 0.0536442
0.0435032 0.0537144

0.0795467 0.287437
0.0767623 0.269401

0.440917 0.180033
0.450144 0.191593

0.0795467 0.287437
0.105749 0.29506

0.656527 0.402978
0.648956 0.402404

0.779539 0.260999
0.778505 0.262192

0.473718 0.218961
0.435382 0.244045

0.762546 0.22055
0.765888 0.218622

0.850879 0.37988
0.838309 0.357208

0.148404 0.3439
0.113585 0.502308

0.191173 0.264605
0.183265 0.279267

0.984495 0.327286
0.345926 0.276832

0.544018 0.187735
0.547771 0.188924

0.0901461 0.220516
0.101828 0.221651

0.0547898 0.535225
0.0575001 0.5111

0.557456 0.232171
0.555554 0.217248

0.114905 0.167029
0.11907 0.167642

0.204664 0.418693
0.114905 0.167029

0.807409 0.169612
0.76984 0.185137

0.95317 0.097478
0.94895 0.0995663

0.300573 0.110862
0.275568 0.138982

0.235176 0.0305767
0.245905 0.0437481

0.986705 0.163775
0.253125 0.0337579

0.12802 0.498229
0.128961 0.497964

0.986705 0.163775
0.945943 0.17922

0.941806 0.0407183
0.934728 0.0447241

0.134242 0.0885711
0.0234395 0.0460126

0.0261633 0.382673
0.050693 0.315924

0.8759 0.316608
0.868055 0.298777

0.955158 0.471627
0.931899 0.426135

0.0013862 0.277047
0.00317472 0.100605

0.0944587 0.371329
0.0013862 0.277047

0.705978 0.393963
0.684683 0.388615

0.0944587 0.371329
0.128101 0.373155

0.0649721 0.273458
0.0667151 0.273819

0.548706 0.277426
0.54271 0.271655

0.270599 0.226041
0.320217 0.235209

0.154945 0.213658
0.147199 0.250437

0.391129 0.275706
0.332906 0.26041

0.278894 0.271536
0.264376 0.270389

0.7728 0.406807
0.77176 0.406522

0.121711 0.299704
0.39966 0.380569

0.108354 0.78984
0.110076 0.726623

0.281124 0.430867
0.272844 0.423945

0.439798 0.457031
0.332228 0.439294

0.11649 0.281196
0.429752 0.451567

0.427659 0.382621
0.427662 0.382623

0.0510516 0.270653
0.0681156 0.275726

0.945806 0.0414966
0.742743 0.0935031

0.16634 0.68325
0.929748 0.0547176

0.833198 0.0141245
0.804879 0.0425391

0.623206 0.327097
0.649908 0.2873

0.492502 0.293638
0.48085 0.296851

0.165302 0.320967
0.216158 0.316719

0.111194 0.212756
0.113149 0.215527

0.109201 0.388037
0.109245 0.384219

0.0503772 0.226932
0.0516209 0.230338

0.0124771 0.291374
0.0131545 0.290223

0.842502 0.202048
0.837638 0.198023

0.395291 0.193972
0.41837 0.194388

0.428623 0.0453654
0.425943 0.0541815

0.160636 0.0363871
0.166544 0.036585

0.614849 0.319928
0.694759 0.418004

0.160636 0.0363871
0.184162 0.0546153

0.958853 0.208597
0.946965 0.220735

0.114953 0.232222
0.119532 0.232094

0.0199339 0.554408
0.0587775 0.537824

0.742237 0.060196
0.722959 0.0736682

0.380265 0.374282
0.72271 0.444907

0.725674 0.000418808
0.669761 0.0609378

0.582561 0.451552
0.586828 0.462547

0.566655 0.285994
0.567974 0.299725

0.0829039 0.591175
0.0638471 0.603135

0.566655 0.285994
0.561833 0.288923

0.603121 0.338474
0.568412 0.34398

0.719314 0.450894
0.6749 0.407923

0.508523 0.235458
0.468354 0.278936

0.719314 0.450894
0.44588 0.368125

0.807986 0.173005
0.781039 0.210605

0.554591 0.122935
0.807986 0.173005

0.232711 0.407141
0.437511 0.433129

0.00959156 0.689354
0.0219816 0.673682

0.690699 0.249509
0.689115 0.26393

0.426092 0.00184481
0.429719 0.00523991

0.050693 0.315924
0.0687317 0.266837

0.442547 0.165695
0.306807 0.217734

0.714862 0.40666
0.732112 0.409077

0.551878 0.125289
0.714862 0.40666

0.62165 0.194012
0.624876 0.190672

0.625768 0.264471
0.623572 0.226897

0.328423 0.484814
0.322978 0.491642

0.281013 0.413456
0.282455 0.416284

0.322978 0.491642
0.24953 0.495612

0.703631 0.387863
0.607416 0.361512

0.705364 0.115472
0.705096 0.15748

0.934616 0.23091
0.932697 0.229944

0.127186 0.22277
0.132052 0.222819

0.0962445 0.157863
0.102118 0.158515

0.924345 0.0976611
0.851802 0.102935

0.315063 0.231546
0.824924 0.119508

0.658935 0.16906
0.475551 0.208707

0.999616 0.0799311
0.658935 0.16906

0.285039 0.192072
0.295003 0.193539

0.554904 0.0344967
0.532566 0.0475399

0.439954 0.235935
0.512156 0.252293

0.366625 0.11894
0.406551 0.18264

0.404886 0.263999
0.417889 0.261157

0.264579 0.275149
0.259711 0.286627

0.890259 0.266269
0.872075 0.269353

0.443648 0.143611
0.444065 0.143726

0.280271 0.387449
0.278582 0.388147

0.287396 0.289903
0.286917 0.296455

0.512308 0.268559
0.304354 0.288293

0.931874 0.364276
0.907589 0.358736

0.572716 0.351862
0.56982 0.329146

0.931874 0.364276
0.912754 0.367647

0.371592 0.382001
0.374542 0.374813

0.264591 0.277373
0.28747 0.299745

0.373171 0.259972
0.373291 0.258829

0.264591 0.277373
0.268686 0.279469

0.275032 0.14885
0.313907 0.154046

0.349484 0.0374706
0.348213 0.0393717

0.838309 0.357208
0.823989 0.331378

0.585305 0.3762
0.606073 0.374641

0.706697 0.304801
0.706811 0.304687

0.514013 0.0210959
0.558757 0.0869772

0.625223 0.0736174
0.624993 0.0735085

0.855176 0.0897463
