set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.340588 0.366099
0.294946 0.439493

0.294946 0.439493
0.340845 0.468037

0.453269 0.62246
0.483247 0.622639

0.599399 0.0553042
0.599636 0.0652647

0.376522 0.228073
0.29384 0.202833

0.829055 0.459241
0.825978 0.454852

0.825978 0.454852
0.816299 0.46164

0.864366 0.656863
0.857162 0.634507

0.857162 0.634507
0.893915 0.622664

